2025-10-07 21:24:30 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:30.409146'}}
2025-10-07 21:24:30 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:30.514424'}}
2025-10-07 21:24:30 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:30.620611'}}
2025-10-07 21:24:30 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:30.727367'}}
2025-10-07 21:24:30 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:30.829121'}}
2025-10-07 21:24:30 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:30.933054'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.038608'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.143608'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.249177'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.354765'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.457847'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.561211'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.663455'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.766905'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.871925'}}
2025-10-07 21:24:31 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:31.976867'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.084733'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.201062'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.306863'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.410507'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.512970'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.615528'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.720548'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.827592'}}
2025-10-07 21:24:32 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:32.930026'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.033044'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.139272'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.246705'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.350265'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.453241'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.563255'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.665749'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.774674'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.879410'}}
2025-10-07 21:24:33 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:33.984231'}}
2025-10-07 21:24:34 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:34.090384'}}
2025-10-07 21:24:34 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:34.195752'}}
2025-10-07 21:24:34 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:34.297667'}}
2025-10-07 21:24:34 - sinamics_diag.diagnostics - INFO - Diagnostic data: {'type': 'fault', 'data': {'id': 'F30040', 'desc': 'Control unit fault', 'component': 'cu320', 'severity': 'high', 'timestamp': '2025-10-07T21:24:34.400159'}}
